
440308	440300	3	district	盐田区	440000,440300,440308	广东省,深圳市,盐田区	广东省	深圳市	盐田区	114.235366	22.555069
440304	440300	3	district	福田区	440000,440300,440304	广东省,深圳市,福田区	广东省	深圳市	福田区	114.05096	22.541009
440303	440300	3	district	罗湖区	440000,440300,440303	广东省,深圳市,罗湖区	广东省	深圳市	罗湖区	114.123885	22.555341
440307	440300	3	district	龙岗区	440000,440300,440307	广东省,深圳市,龙岗区	广东省	深圳市	龙岗区	114.251372	22.721511
440310	440300	3	district	坪山区	440000,440300,440310	广东省,深圳市,坪山区	广东省	深圳市	坪山区	114.338441	22.69423
440311	440300	3	district	光明区	440000,440300,440311	广东省,深圳市,光明区	广东省	深圳市	光明区	113.935895	22.748816
440309	440300	3	district	龙华区	440000,440300,440309	广东省,深圳市,龙华区	广东省	深圳市	龙华区	114.044346	22.691963
440400	440000	2	city	珠海市	440000,440400	广东省,珠海市	广东省	珠海市		113.553986	22.224979
440404	440400	3	district	金湾区	440000,440400,440404	广东省,珠海市,金湾区	广东省	珠海市	金湾区	113.345071	22.139122
440403	440400	3	district	斗门区	440000,440400,440403	广东省,珠海市,斗门区	广东省	珠海市	斗门区	113.297739	22.209117
440402	440400	3	district	香洲区	440000,440400,440402	广东省,珠海市,香洲区	广东省	珠海市	香洲区	113.55027	22.271249
440800	440000	2	city	湛江市	440000,440800	广东省,湛江市	广东省	湛江市		110.364977	21.274898
440811	440800	3	district	麻章区	440000,440800,440811	广东省,湛江市,麻章区	广东省	湛江市	麻章区	110.329167	21.265997
440881	440800	3	district	廉江市	440000,440800,440881	广东省,湛江市,廉江市	广东省	湛江市	廉江市	110.284961	21.611281
440882	440800	3	district	雷州市	440000,440800,440882	广东省,湛江市,雷州市	广东省	湛江市	雷州市	110.088275	20.908523
440883	440800	3	district	吴川市	440000,440800,440883	广东省,湛江市,吴川市	广东省	湛江市	吴川市	110.780508	21.428453
440825	440800	3	district	徐闻县	440000,440800,440825	广东省,湛江市,徐闻县	广东省	湛江市	徐闻县	110.175718	20.326083
440804	440800	3	district	坡头区	440000,440800,440804	广东省,湛江市,坡头区	广东省	湛江市	坡头区	110.455632	21.24441
440803	440800	3	district	霞山区	440000,440800,440803	广东省,湛江市,霞山区	广东省	湛江市	霞山区	110.406382	21.194229
440823	440800	3	district	遂溪县	440000,440800,440823	广东省,湛江市,遂溪县	广东省	湛江市	遂溪县	110.255321	21.376915
440802	440800	3	district	赤坎区	440000,440800,440802	广东省,湛江市,赤坎区	广东省	湛江市	赤坎区	110.361634	21.273365
